"Belostoma_estevezae"	"Belostoma_lariversi_var1"	"Belostoma_micantulum_var1"	"Belostoma_micantulum_var2"	"Belostoma_minusculum_var1"	"Belostoma_minusculum_var2"	"Belostoma_nessimiani"	"Belostoma_nicaeum_var1"	"Belostoma_nicaeum_var2"	"Belostoma_parvum"	"Belostoma_plebejum"	"Belostoma_pygmeum_var1"	"Belostoma_pygmeum_var2"	"Belostoma_sp2"
"1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"4"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"6"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"8"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"9"	0	1	1	0	0	0	0	0	0	1	1	1	0	0
"10"	1	1	1	1	1	1	1	1	1	1	1	1	1	1
"11"	0	0	1	0	1	1	0	1	0	1	1	0	0	0
"12"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"13"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"14"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"15"	0	0	0	0	0	0	0	0	0	0	1	1	0	0
"16"	1	0	0	1	0	0	1	1	1	0	1	1	1	0
"17"	0	0	1	1	1	1	0	1	0	0	1	1	0	0
"18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"19"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"20"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"21"	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"22"	1	0	0	0	0	0	1	1	0	0	1	1	0	0
"23"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"25"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"26"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"28"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"29"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"30"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ROOT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
