"Belostoma_estevezae"	"Belostoma_micantulum_var1"	"Belostoma_micantulum_var2"	"Belostoma_minusculum_var1"	"Belostoma_nessimiani"	"Belostoma_nicaeum_var1"	"Belostoma_parvum"	"Belostoma_plebejum"	"Belostoma_pygmeum_var1"	"Belostoma_pygmeum_var2"
"5"	0	0	0	0	0	0	0	0	0	0
"6"	0	0	0	0	0	0	0	0	0	0
"22"	0	0	0	0	0	0	0	0	0	0
"23"	0	0	0	0	0	0	0	0	0	0
"24"	0	0	0	0	0	0	0	0	0	0
"25"	0	0	0	0	0	0	0	0	0	0
"26"	0	0	0	0	0	0	0	0	0	0
"27"	0	0	0	0	0	0	0	0	0	0
"40"	0	0	0	0	0	0	0	0	0	0
"41"	0	0	0	0	0	0	0	0	0	0
"42"	0	0	0	0	0	0	0	0	0	0
"43"	0	0	0	0	0	0	0	0	0	0
"44"	0	0	0	0	0	0	0	0	0	0
"45"	0	0	0	0	0	0	0	0	0	0
"46"	0	0	0	0	0	0	0	0	1	0
"55"	0	0	0	0	0	0	0	0	0	0
"57"	0	0	0	0	0	0	0	0	0	0
"58"	0	0	0	0	0	0	0	0	0	0
"59"	0	0	0	0	0	0	0	0	0	0
"60"	0	0	1	1	0	0	1	0	0	0
"61"	0	0	1	1	1	1	1	0	1	1
"62"	0	0	1	1	1	1	1	0	1	1
"63"	0	1	0	1	1	0	1	0	1	1
"64"	0	1	0	0	1	0	1	0	1	0
"74"	0	0	0	0	0	0	0	0	1	0
"75"	0	0	0	0	0	0	0	0	1	0
"76"	0	1	0	0	0	0	0	0	1	0
"77"	0	1	1	1	0	1	1	0	0	0
"78"	0	1	1	1	1	1	1	1	1	1
"79"	0	0	1	1	1	1	1	1	1	1
"80"	1	1	1	1	1	1	1	1	1	1
"81"	1	1	0	1	1	1	1	0	1	0
"82"	0	1	0	0	0	0	1	1	0	0
"83"	0	1	0	0	0	0	0	1	0	0
"91"	0	0	0	0	0	0	0	0	1	0
"92"	0	0	0	0	0	0	0	1	1	0
"93"	0	1	0	0	0	0	0	1	1	0
"94"	0	1	0	0	0	0	1	1	1	0
"95"	0	1	1	1	0	1	1	1	1	1
"96"	1	1	1	1	0	1	1	1	1	1
"97"	1	1	1	1	0	1	0	1	1	0
"98"	1	0	0	1	0	1	0	0	1	0
"99"	0	0	0	0	0	1	0	1	1	0
"100"	0	1	0	0	0	1	0	1	1	0
"109"	0	0	0	0	0	0	0	1	1	0
"110"	0	0	0	0	0	0	0	1	1	0
"111"	0	0	0	0	0	0	0	1	1	0
"112"	0	1	0	0	0	1	0	0	1	1
"113"	1	1	1	1	0	1	0	1	1	1
"114"	1	1	0	1	0	1	0	0	1	1
"115"	1	1	1	1	0	1	0	1	1	0
"116"	0	1	1	1	0	1	0	1	1	0
"117"	0	1	1	0	0	1	0	1	1	0
"127"	0	0	0	0	0	0	0	1	1	0
"128"	0	0	0	0	0	0	0	1	1	0
"129"	0	0	0	0	0	1	0	0	1	1
"130"	0	0	0	0	0	1	0	1	1	1
"131"	0	0	0	0	0	1	0	1	1	1
"132"	0	1	1	1	0	0	0	1	1	0
"133"	0	1	1	1	0	0	0	1	1	0
"134"	0	1	1	0	0	0	0	1	1	0
"144"	0	0	0	0	0	0	0	1	0	0
"145"	0	0	0	0	0	0	0	1	0	0
"146"	0	0	0	0	0	1	0	1	1	1
"147"	1	0	0	0	1	1	0	1	1	1
"148"	1	0	0	0	1	1	0	1	1	1
"149"	0	1	0	0	0	0	0	1	0	0
"150"	0	1	1	0	0	0	0	1	0	0
"161"	0	0	0	0	0	0	0	1	0	0
"162"	0	0	0	0	0	0	0	1	0	0
"163"	0	0	0	0	0	1	0	1	1	0
"164"	1	0	0	0	1	1	0	1	1	0
"165"	1	0	0	0	1	1	0	1	1	0
"166"	1	0	0	0	1	0	0	1	0	0
"178"	0	0	0	0	0	0	0	0	0	0
"179"	0	0	0	0	0	0	0	0	0	0
"180"	0	0	0	0	0	1	0	1	0	0
"181"	1	0	0	0	1	1	0	1	0	0
"182"	1	0	0	0	1	1	0	1	0	0
"195"	0	0	0	0	0	0	0	0	0	0
"196"	0	0	0	0	0	0	0	0	0	0
"197"	0	0	0	0	0	0	0	0	0	0
"198"	0	0	0	0	0	0	0	0	0	0
"211"	0	0	0	0	0	0	0	0	0	0
"212"	0	0	0	0	0	0	0	0	0	0
"213"	0	0	0	0	0	0	0	0	0	0
"214"	0	0	0	0	0	0	0	0	0	0
"228"	0	0	0	0	0	0	0	0	0	0
"229"	0	0	0	0	0	0	0	0	0	0
"230"	0	0	0	0	0	0	0	0	0	0
"231"	0	0	0	0	0	0	0	0	0	0
"232"	0	0	0	0	0	0	0	0	0	0
"246"	0	0	0	0	0	0	0	0	0	0
"247"	0	0	0	0	0	0	0	0	0	0
"248"	0	0	0	0	0	0	0	0	0	0
"249"	0	0	0	0	0	0	0	0	0	0
"253"	0	0	0	0	0	0	0	0	0	0
"ROOT"	0	0	0	0	0	0	0	0	0	0
