"bin_name","bin_number"
"Andean",1
"Araucaria Forest province",2
"Atacama province",3
"Atlantic province",4
"Bahama province",5
"Balsas Basin province",6
"Caatinga province",7
"Cayman Islands province",8
"Cerrado province",9
"Chaco province",10
"Chapada Diamantina province",11
"Chiapas Highlands province",12
"Choco-Darien province",13
"Comechingones province",14
"Cuban province",15
"Cuyan High Andean province",16
"Desert province",17
"Ecuadorian province",18
"Esteros del Ibera province",19
"Galapagos Islands province",20
"Guajira province",21
"Guatuso-Talamanca province",22
"Guianan Lowlands province",23
"Guianan province",24
"Hispaniola province",25
"Imeri province",26
"Jamaica province",27
"Lesser Antilles province",28
"Madeira province",29
"Mosquito province",30
"Napo province",31
"Pacific Lowlands province",32
"Pampean province",33
"Para province",34
"Parana Forest province",35
"Puerto Rico province",36
"Puna province",37
"Puntarenas-Chiriqui province",38
"Rondonia province",39
"Roraima province",40
"Sabana province",41
"Sierra Madre del Sur province",42
"Sierra Madre Occidental province",43
"Sierra Madre Oriental province",44
"Southern Espinhaco province",45
"Transmexican Volcanic Belt province",46
"Trinidad province",47
"Ucayali province",48
"Venezuelan province",49
"Veracruzan province",50
"Western Ecuador province",51
"Xingu-Tapajos province",52
"Yucatan Peninsula Province",53
"Yungas province",54
