"Provincias","n_species","n_occurrences","species_list"
"Araucaria Forest province",5,11,"E_L_machadus, E_L_imitator, E_L_picticornis, E_L_triangulator, E_L_riograndensis"
"Atlantic province",8,37,"E_L_machadus, E_L_longicornis, E_L_imitator, E_L_sharpi, E_L_cornutus, E_L_picticornis, E_L_triangulator, E_L_aceratos"
"Cerrado province",5,8,"E_L_longicornis, E_L_illotus, E_L_cornutus, E_L_triangulator, E_L_cribrarius"
"Chaco province",3,4,"E_L_illotus, E_L_sharpi, E_L_cornutus"
"Esteros del Ibera province",5,7,"E_L_imitator, E_L_sharpi, E_L_cornutus, E_L_picticornis, E_L_aceratos"
"Pampean province",6,29,"E_L_imitator, E_L_sharpi, E_L_circumfusus, E_L_picticornis, E_L_aceratos, E_L_riograndensis"
"Para province",1,1,"E_L_longicornis"
"Parana Forest province",5,26,"E_L_illotus, E_L_cornutus, E_L_picticornis, E_L_cribrarius, E_L_aceratos"
"Puna province",1,2,"E_L_illotus"
"Rondonia province",3,3,"E_L_illotus, E_L_cribrarius, E_L_riograndensis"
"Yungas province",1,2,"E_L_illotus"
